eps_deg,sample_idx,D_m,R_star_m,q
0.1,194,2.567160,1.283580,1.000000
0.1,195,1.975684,0.990320,1.002509
0.1,196,0.694308,0.347154,1.000000
0.1,197,1.792345,0.913390,1.019212
0.1,198,14.339521,7.169761,1.000000
0.1,199,2.696101,1.348050,1.000000
0.1,200,0.361619,0.180810,1.000000
0.1,201,2.369478,1.184739,1.000000
0.1,202,1.187992,0.593996,1.000000
0.1,203,1.131499,0.565750,1.000000
0.1,204,0.327921,0.163961,1.000000
0.1,205,1.860235,0.930118,1.000000
0.1,206,1.525796,0.762898,1.000000
0.1,207,3.754881,1.877440,1.000000
0.1,208,1.051488,0.525745,1.000002
0.1,209,3.080721,1.540360,1.000000
0.1,210,3.011886,1.505943,1.000000
0.1,211,1.521627,0.762319,1.001979
0.1,212,0.770365,0.385182,1.000000
0.1,213,0.930639,0.465319,1.000000
0.1,214,4.569763,2.284881,1.000000
0.1,215,1.867935,0.933968,1.000000
0.1,216,2.426169,1.213084,1.000000
0.1,217,3.034383,1.517192,1.000000
0.1,218,0.780013,0.390007,1.000000
0.1,219,1.774316,0.887158,1.000000
0.1,220,3.795224,1.897612,1.000000
0.1,221,3.126124,1.563062,1.000000
0.1,222,1.775353,0.887677,1.000000
0.1,223,2.386367,1.193882,1.000586
0.1,224,2.396679,1.297498,1.082746
0.1,225,1.437942,0.718971,1.000000
0.1,226,4.058629,2.029315,1.000000
0.1,227,0.929762,0.464881,1.000000
0.1,228,3.079919,1.539959,1.000000
0.1,229,1.278968,0.639484,1.000000
0.1,230,2.842138,1.421069,1.000000
0.1,231,1.173961,0.586980,1.000000
0.1,232,2.858512,1.429256,1.000000
0.1,233,4.544415,2.272207,1.000000
0.1,234,1.723903,0.861952,1.000000
0.1,235,1.536622,0.768311,1.000000
0.1,236,5.176799,2.588400,1.000000
0.1,237,1.644208,0.822104,1.000000
0.1,238,1.781108,0.907381,1.018895
0.1,239,5.355129,2.677564,1.000000
0.1,240,1.915716,0.957858,1.000000
0.1,241,1.551935,0.776022,1.000070
0.1,242,4.419907,2.209953,1.000000
0.1,243,3.552766,1.776383,1.000000
0.1,244,1.535510,0.779006,1.014655
0.1,245,2.013849,1.006924,1.000000
0.1,246,5.573751,2.786875,1.000000
0.1,247,4.588121,2.294061,1.000000
0.1,248,1.088815,0.544408,1.000000
0.1,249,0.471941,0.235970,1.000000
0.1,250,1.951577,0.975788,1.000000
0.1,251,2.076064,1.038032,1.000000
0.1,252,2.447367,1.224892,1.000988
0.1,253,0.715402,0.357701,1.000000
0.1,254,3.024664,1.512332,1.000000
0.1,255,3.339508,1.669754,1.000000
0.1,256,2.607287,1.303643,1.000000
0.1,257,1.239157,0.653682,1.055044
0.1,258,4.133449,2.066724,1.000000
0.1,259,1.594066,0.826689,1.037208
0.1,260,1.780381,0.936474,1.051993
0.1,261,1.029442,0.514721,1.000000
0.1,262,2.137510,1.068755,1.000000
0.1,263,3.590459,1.795229,1.000000
0.1,264,8.669766,4.334883,1.000000
0.1,265,2.344140,1.179683,1.006495
0.1,266,0.633594,0.316797,1.000000
0.1,267,3.016542,1.508271,1.000000
0.1,268,1.225989,0.612995,1.000000
0.1,269,2.009312,1.004656,1.000000
0.1,270,4.240016,2.120008,1.000000
0.1,271,2.770662,1.385331,1.000000
0.1,272,1.944209,0.972105,1.000000
0.1,273,1.542365,0.771183,1.000000
0.1,274,5.532066,2.766033,1.000000
0.1,275,5.853695,2.926848,1.000000
0.1,276,1.126601,0.563301,1.000000
0.1,277,5.316238,2.658119,1.000000
0.1,278,1.386004,0.693002,1.000000
0.1,279,3.134310,1.571176,1.002566
0.1,280,1.704517,0.852259,1.000000
0.1,281,0.679918,0.340612,1.001922
0.1,282,1.382846,0.691423,1.000000
0.1,283,2.272133,1.136066,1.000000
0.1,284,4.960932,2.480466,1.000000
0.1,285,0.656863,0.328431,1.000000
0.1,286,1.003815,0.505708,1.007571
0.1,287,2.555750,1.277875,1.000000
0.1,288,1.285941,0.721722,1.122481
0.1,289,2.786350,1.393175,1.000000
0.1,290,4.848200,2.424100,1.000000
0.1,291,2.447511,1.223755,1.000000
0.1,292,5.125114,2.562557,1.000000
0.1,293,6.105978,3.052989,1.000000
0.1,294,1.240240,0.620120,1.000000
0.1,295,1.419018,0.709509,1.000000
0.1,296,3.203567,1.601784,1.000000
0.1,297,1.325227,0.662614,1.000000
0.1,298,3.969746,1.984873,1.000000
0.1,299,1.466122,0.733061,1.000000
0.2,0,13.772059,6.886029,1.000000
0.2,1,18.193937,9.096968,1.000000
0.2,2,2.225248,1.113263,1.000574
0.2,3,4.199412,2.099706,1.000000
0.2,4,9.520473,4.760237,1.000000
0.2,5,6.613969,3.306985,1.000000
0.2,6,3.933075,1.966538,1.000000
0.2,7,1.732816,0.866408,1.000000
0.2,8,0.576534,0.288267,1.000000
0.2,9,4.785757,2.392878,1.000000
0.2,10,4.922611,2.461306,1.000000
