N,scene_idx,D_m,D_ref_m,R_star_m,R_star_ref_m,q,q_ref
16,155,3.501501,3.501501,1.750750,1.750750,1.000000,1.000000
16,156,7.962410,7.962410,3.982158,3.982158,1.000239,1.000239
16,157,4.433186,4.433186,2.216593,2.216593,1.000000,1.000000
16,158,31.696123,31.696123,15.848062,15.848062,1.000000,1.000000
16,159,56.650584,56.650584,28.325292,28.325292,1.000000,1.000000
16,160,11.069909,11.069909,5.593901,5.593901,1.010650,1.010650
16,161,29.498145,29.498145,14.749072,14.749072,1.000000,1.000000
16,162,108.633057,108.633057,54.316529,54.316529,1.000000,1.000000
16,163,36.131219,36.131219,18.065609,18.065609,1.000000,1.000000
16,164,15.618723,15.618723,7.809362,7.809362,1.000000,1.000000
16,165,26.906170,26.906170,13.453085,13.453085,1.000000,1.000000
16,166,48.538075,48.538075,24.269037,24.269037,1.000000,1.000000
16,167,8.931870,8.931870,4.465935,4.465935,1.000000,1.000000
16,168,7.278977,7.278977,3.639489,3.639489,1.000000,1.000000
16,169,8.550181,8.550181,4.275090,4.275090,1.000000,1.000000
16,170,14.134880,14.134880,7.094487,7.094487,1.003827,1.003827
16,171,1.730299,1.730299,0.865149,0.865149,1.000000,1.000000
16,172,14.424296,14.424296,7.381570,7.381570,1.023491,1.023491
16,173,572.003292,566.219504,286.001646,283.109752,1.000000,1.000000
16,174,16.874849,16.874849,8.437424,8.437424,1.000000,1.000000
16,175,68.599372,68.599372,34.299686,34.299686,1.000000,1.000000
16,176,13.262057,13.262057,6.631029,6.631029,1.000000,1.000000
16,177,76.446462,76.446462,38.223231,38.223231,1.000000,1.000000
16,178,3.596418,3.596418,1.800337,1.800337,1.001183,1.001183
16,179,6.684046,6.684046,3.342023,3.342023,1.000000,1.000000
16,180,6.921644,6.921644,3.460822,3.460822,1.000000,1.000000
16,181,29.306752,29.306752,14.653376,14.653376,1.000000,1.000000
16,182,22.734471,22.734471,11.368024,11.368024,1.000069,1.000069
16,183,29.415486,29.415486,14.707743,14.707743,1.000000,1.000000
16,184,10.149808,10.149808,5.085345,5.085345,1.002057,1.002057
16,185,17.062943,17.062943,8.531471,8.531471,1.000000,1.000000
16,186,10.290329,10.290329,5.167715,5.167715,1.004383,1.004383
16,187,53.986247,53.986247,26.993124,26.993124,1.000000,1.000000
16,188,50.164862,50.164862,25.082431,25.082431,1.000000,1.000000
16,189,25.936642,25.936642,12.968321,12.968321,1.000000,1.000000
16,190,9.555313,9.555313,4.777656,4.777656,1.000000,1.000000
16,191,3.177707,3.177707,1.627892,1.627892,1.024570,1.024570
16,192,93.544812,83.028383,46.772406,41.514192,1.000000,1.000000
16,193,29.238862,29.238862,14.619431,14.619431,1.000000,1.000000
16,194,38.078684,38.078684,19.039342,19.039342,1.000000,1.000000
16,195,7.600849,7.600849,3.800424,3.800424,1.000000,1.000000
16,196,62.329345,62.329345,31.164672,31.164672,1.000000,1.000000
16,197,57.118942,57.118942,28.559471,28.559471,1.000000,1.000000
16,198,18.555691,18.555691,9.277846,9.277846,1.000000,1.000000
16,199,62.102321,62.102321,31.051160,31.051160,1.000000,1.000000
16,200,32.292965,32.292965,16.399778,16.399778,1.015687,1.015687
16,201,39.351301,39.351301,19.675651,19.675651,1.000000,1.000000
16,202,74.519831,74.519831,37.259915,37.259915,1.000000,1.000000
16,203,186.725521,186.725521,93.362761,93.362761,1.000000,1.000000
16,204,84.768041,84.768041,42.384021,42.384021,1.000000,1.000000
16,205,11.285263,11.285263,5.642631,5.642631,1.000000,1.000000
16,206,6.812655,6.812655,3.406327,3.406327,1.000000,1.000000
16,207,37.416323,37.416323,18.708161,18.708161,1.000000,1.000000
16,208,53.021861,53.021861,26.510931,26.510931,1.000000,1.000000
16,209,13.324255,13.324255,6.662127,6.662127,1.000000,1.000000
16,210,401.796559,401.796559,200.898279,200.898279,1.000000,1.000000
16,211,2.777072,2.777072,1.388536,1.388536,1.000000,1.000000
16,212,10.901733,10.901733,5.450867,5.450867,1.000000,1.000000
16,213,78.394917,78.394917,39.197458,39.197458,1.000000,1.000000
16,214,11.508793,11.508793,5.915853,5.915853,1.028058,1.028058
16,215,8.541582,8.541582,4.270791,4.270791,1.000000,1.000000
16,216,17.955229,17.955229,8.977614,8.977614,1.000000,1.000000
16,217,18.944138,18.944138,9.472069,9.472069,1.000000,1.000000
16,218,25.968159,25.968159,12.984080,12.984080,1.000000,1.000000
16,219,17.129604,17.129604,8.564802,8.564802,1.000000,1.000000
16,220,36.779135,36.779135,18.389568,18.389568,1.000000,1.000000
16,221,24.086341,24.086341,12.043171,12.043171,1.000000,1.000000
16,222,23.488604,23.488604,11.744302,11.744302,1.000000,1.000000
16,223,10.695035,10.695035,5.347518,5.347518,1.000000,1.000000
16,224,10.353410,10.353410,5.176705,5.176705,1.000000,1.000000
16,225,70.504698,45.594005,35.271662,22.797002,1.000548,1.000000
16,226,29.577055,29.577055,14.788527,14.788527,1.000000,1.000000
16,227,28.012776,28.012776,14.006388,14.006388,1.000000,1.000000
16,228,11.322370,11.322370,5.661185,5.661185,1.000000,1.000000
16,229,35.326367,35.326367,17.663183,17.663183,1.000000,1.000000
16,230,28.455508,28.455508,14.227754,14.227754,1.000000,1.000000
16,231,113.117444,113.117444,56.558722,56.558722,1.000000,1.000000
16,232,80.441957,80.441957,40.220979,40.220979,1.000000,1.000000
16,233,56.320474,56.320474,28.160237,28.160237,1.000000,1.000000
16,234,27.133795,27.133795,13.566898,13.566898,1.000000,1.000000
16,235,44.026652,44.026652,22.013326,22.013326,1.000000,1.000000
16,236,11.404064,11.404064,5.702032,5.702032,1.000000,1.000000
16,237,54.125177,54.125177,27.062589,27.062589,1.000000,1.000000
16,238,14.895042,14.895042,7.447521,7.447521,1.000000,1.000000
16,239,38.119324,38.119324,19.059662,19.059662,1.000000,1.000000
16,240,13.080801,13.080801,6.540400,6.540400,1.000000,1.000000
16,241,9.004691,9.004691,4.604753,4.604753,1.022745,1.022745
