case,n,status,D_m,q,covered,true_source_contained
15,2,bounded,82.19336575073835,1.0000000000000002,True,True
15,3,bounded,63.031080195974646,1.0,True,True
15,5,bounded,14.801366638377983,1.0033335635869391,False,True
15,8,bounded,4.047935736585321,1.0,True,True
15,12,bounded,1.5918783797235134,1.0114380525191955,False,True
16,2,bounded,642.942809036247,1.0,True,True
16,3,bounded,148.26349663937566,1.0000000000000002,True,True
16,5,bounded,7.432059716972678,1.0000000000000187,True,True
16,8,bounded,3.264235986513266,1.0277920020753923,False,True
16,12,bounded,2.913447469601702,1.0357526016240226,False,True
17,2,bounded,42.29644693150932,1.0000000000000004,True,True
17,3,bounded,13.652297005360737,1.0000275335710227,False,True
17,5,bounded,9.358758555174907,1.0000275335710227,False,True
17,8,bounded,9.358758555174878,1.0000275335710291,False,True
17,12,bounded,4.132120492346063,1.0000263288638807,False,True
18,2,bounded,131.87068538135023,1.0000000000000018,True,True
18,3,bounded,131.87068538135023,1.0000000000000018,True,True
18,5,bounded,28.34172911401002,1.000000000000008,True,True
18,8,bounded,13.962261295449954,1.0,True,True
18,12,bounded,4.540043967286416,1.0,True,True
19,2,bounded,66.07491945003746,1.0000000000000004,True,True
19,3,bounded,66.0749194500373,1.0,True,True
19,5,bounded,7.78524228335517,1.0000000000000118,True,True
19,8,bounded,7.785242283355236,1.0000000000000118,True,True
19,12,bounded,2.6819317234783777,1.0011929509307012,False,True
20,2,bounded,1976.633547000137,1.0,True,True
20,3,bounded,35.44721031676489,1.0,True,True
20,5,bounded,29.955930446762327,1.0029122938953312,False,True
20,8,bounded,9.731867405590753,1.000000000000023,True,True
20,12,bounded,8.767317667630476,1.0000000000000246,True,True
21,2,bounded,63.318219359144415,1.000000000000004,True,True
21,3,bounded,38.266623801819016,1.0000000000000004,True,True
21,5,bounded,23.681446534651602,1.0000000000000089,True,True
21,8,bounded,11.525658930626332,1.0072544559452499,False,True
21,12,bounded,8.46580211432101,1.0000000000000262,True,True
22,2,bounded,283.5384796385478,1.0000000000000004,True,True
22,3,bounded,51.227400700682864,1.0000000000000033,True,True
22,5,bounded,33.98600424367873,1.0199910333503999,False,True
22,8,bounded,15.377749104121426,1.0001620955530415,False,True
22,12,bounded,9.915336164899394,1.000000000000006,True,True
23,2,bounded,66.26694056822224,1.0000000000000018,True,True
23,3,bounded,18.226842197032912,1.0000000000000067,True,True
23,5,bounded,13.037291882037886,1.000540799367491,False,True
23,8,bounded,13.037291882038,1.0005407993674964,False,True
23,12,bounded,5.251164680336897,1.0,True,True
24,2,bounded,6.043356391682459,1.0,True,True
24,3,bounded,6.043356391682657,1.0000000000000326,True,True
24,5,bounded,6.043356391682516,1.0,True,True
24,8,bounded,6.043356391682629,1.000000000000028,True,True
24,12,bounded,3.604238993324679,1.0565429229399401,False,True
25,2,bounded,129.91663760264666,1.0000000000000002,True,True
25,3,bounded,129.9166376026468,1.0,True,True
25,5,bounded,15.638565385529615,1.0,True,True
25,8,bounded,15.638565385529539,1.0,True,True
25,12,bounded,6.995373161347359,1.0168353435932087,False,True
26,2,bounded,27.13678227262589,1.0000000000000033,True,True
26,3,bounded,27.13678227262591,1.0000000000000024,True,True
26,5,bounded,18.069707188600827,1.0,True,True
26,8,bounded,10.822857489108186,1.0084886392631767,False,True
26,12,bounded,10.793667517397731,1.002614189884918,False,True
27,2,bounded,52.66246748930596,1.0000000000000022,True,True
27,3,bounded,52.66246748930608,1.0,True,True
27,5,bounded,41.45365677765188,1.0000000000000027,True,True
27,8,bounded,14.062816788463373,1.0000000000000082,True,True
27,12,bounded,8.353897470314529,1.0000000000000135,True,True
28,2,bounded,7.150667049325623,1.000000000000008,True,True
28,3,bounded,7.150667049325567,1.0,True,True
28,5,bounded,1.756577042799805,1.0,True,True
28,8,bounded,1.7565770427997525,1.00000000000003,True,True
28,12,bounded,1.6353345492268452,1.000000000000033,True,True
29,2,bounded,101.23736047240071,1.0,True,True
29,3,bounded,99.77565050824869,1.0000000000000004,True,True
29,5,bounded,25.537272592076103,1.0000000000000007,True,True
29,8,bounded,6.0424368107253805,1.0137348907376658,False,True
29,12,bounded,6.04243681072538,1.013734890737666,False,True
30,2,bounded,73.94028187234053,1.0,True,True
30,3,bounded,51.899209273883464,1.0000000000000036,True,True
30,5,bounded,9.650012718681232,1.0000246039297167,False,True
30,8,bounded,5.737985666225677,1.0000246039297274,False,True
30,12,bounded,5.737985666225478,1.0000246039297236,False,True
31,2,bounded,511.03556633078716,1.0000000000000002,True,True
31,3,bounded,316.6473661377627,1.0000000000000007,True,True
31,5,bounded,28.096961096944238,1.0,True,True
31,8,bounded,8.6142153227379,1.0000000000000007,True,True
31,12,bounded,4.416855594421149,1.0000000000000515,True,True
32,2,bounded,146.868353177793,1.0000000000000002,True,True
32,3,bounded,80.98060910152816,1.0,True,True
32,5,bounded,8.51359935966987,1.000000000000013,True,True
32,8,bounded,6.610274890993034,1.0000000000000193,True,True
32,12,bounded,3.9083447049188056,1.000000000000025,True,True
33,2,bounded,46.588991728449244,1.0000000000000047,True,True
33,3,bounded,31.89392691288084,1.0,True,True
33,5,bounded,20.882715685330577,1.0000000000000082,True,True
33,8,bounded,5.169047471155245,1.000000000000001,True,True
33,12,bounded,5.169047471155026,1.0000000000000437,True,True
34,2,bounded,34.5256500768419,1.000000000000003,True,True
34,3,bounded,29.917846649148604,1.0,True,True
34,5,bounded,20.736869649559246,1.0003541782503134,False,True
34,8,bounded,5.938790871814065,1.000000000000018,True,True
34,12,bounded,3.6835097826641103,1.0525901047590998,False,True
35,2,bounded,45.412170416431344,1.000000000000004,True,True
35,3,bounded,41.40746693981625,1.0,True,True
35,5,bounded,23.376034251660972,1.0000000000000018,True,True
35,8,bounded,4.025403985028547,1.0,True,True
35,12,bounded,2.815546463934692,1.0,True,True
36,2,bounded,102.21890578293446,1.0000000000000007,True,True
36,3,bounded,67.42731767976463,1.0,True,True
36,5,bounded,2.7286375937220595,1.0,True,True
36,8,bounded,1.8689709751569203,1.0,True,True
36,12,bounded,1.8689709751564656,1.0,True,True
37,2,bounded,91.50249252855188,1.000000000000002,True,True
37,3,bounded,34.65047880215831,1.0000000000000067,True,True
37,5,bounded,34.65047880215876,1.0000000000000067,True,True
37,8,bounded,10.596656787042964,1.000000000000024,True,True
37,12,bounded,9.270793585512257,1.0000000000000235,True,True
38,2,bounded,50.16552319620545,1.0000000000000022,True,True
38,3,bounded,31.462926707539292,1.0000000000000018,True,True
38,5,bounded,19.358906385697004,1.0000000000000049,True,True
38,8,bounded,9.265621008873108,1.000000000000012,True,True
38,12,bounded,6.918166366156764,1.000749698589021,False,True
39,2,bounded,55.14712089349377,1.0000000000000007,True,True
39,3,bounded,40.6080756710823,1.000000000000002,True,True
39,5,bounded,31.826577859127315,1.0000000000000004,True,True
39,8,bounded,20.882684682375906,1.0,True,True
39,12,bounded,16.0084359373156,1.0000000000000049,True,True
40,2,bounded,92.51516147997462,1.0000000000000027,True,True
40,3,bounded,48.532501374058896,1.0,True,True
