pose,case,strategy,S1_x,S1_y,G_x,G_y,R_true,e1,e2,bearing1,S2_x,S2_y,status,D_upper,D_lower,optical_guaranteed,bracket_width
center,7,minimax,0.0,0.0,385.3382878734889,-1102.7350182523178,1292.087528465041,-0.5315077975827616,0.9352140857170335,-71.27011718813877,787.3431155709181,-623.2171362163704,direction,67.13711251371355,67.13711210460531,False,4.0910823884132697e-07
center,7,along_750,0.0,0.0,385.3382878734889,-1102.7350182523178,1292.087528465041,-0.5315077975827616,0.9352140857170335,-71.27011718813877,240.83022581372828,-710.2821990832296,direction,745.2501022830111,745.2217748429641,False,0.02832744004695087
center,7,perpendicular_1000,0.0,0.0,385.3382878734889,-1102.7350182523178,1292.087528465041,-0.5315077975827616,0.9352140857170335,-71.27011718813877,947.0429321109727,321.10696775163774,no_signal,,,False,
center,7,random_omega,0.0,0.0,385.3382878734889,-1102.7350182523178,1292.087528465041,-0.5315077975827616,0.9352140857170335,-71.27011718813877,613.830247439579,329.82295138808587,no_signal,,,False,
center,8,minimax,0.0,0.0,-1123.715810231998,-398.2147372688676,1312.2595118105448,-0.8321987562156552,0.25865550098666534,-161.3192377055611,-623.8919079785688,-786.808533043151,direction,69.87012295454868,69.87012253521895,False,4.1932972294489446e-07
center,8,along_750,0.0,0.0,-1123.715810231998,-398.2147372688676,1312.2595118105448,-0.8321987562156552,0.25865550098666534,-161.3192377055611,-710.488405340372,-240.2212019720478,direction,745.2503022474784,745.2219748064597,False,0.028327441018745958
center,8,perpendicular_1000,0.0,0.0,-1123.715810231998,-398.2147372688676,1312.2595118105448,-0.8321987562156552,0.25865550098666534,-161.3192377055611,320.2949359627304,-947.3178737871626,no_signal,,,False,
center,8,random_omega,0.0,0.0,-1123.715810231998,-398.2147372688676,1312.2595118105448,-0.8321987562156552,0.25865550098666534,-161.3192377055611,538.5396861189247,1202.829367892692,no_signal,,,False,
center,9,minimax,0.0,0.0,977.0574226848963,-309.62903032583,1163.6680780503912,-0.28378430812475886,0.5320178344640489,-17.867167970112092,969.7497474958802,260.56516985646954,direction,49.46392372579054,49.46392338732432,False,3.3846622216060496e-07
center,9,along_750,0.0,0.0,977.0574226848963,-309.62903032583,1163.6680780503912,-0.28378430812475886,0.5320178344640489,-17.867167970112092,713.8277784632509,-230.1084585455738,direction,745.2501041305202,745.221776853824,False,0.028327276696131776
center,9,perpendicular_1000,0.0,0.0,977.0574226848963,-309.62903032583,1163.6680780503912,-0.28378430812475886,0.5320178344640489,-17.867167970112092,306.81127806076506,951.7703712843345,no_signal,,,False,
center,9,random_omega,0.0,0.0,977.0574226848963,-309.62903032583,1163.6680780503912,-0.28378430812475886,0.5320178344640489,-17.867167970112092,887.8850748060811,1230.5480866660184,no_signal,,,False,
center,10,minimax,0.0,0.0,-119.31373272267986,1074.362139473533,1159.1344205312007,0.5190491948855251,-0.298048320262027,96.85608865763504,-642.2654408941988,771.8833357079517,direction,53.590590040179116,53.59058968449651,False,3.5568260869922597e-07
center,10,along_750,0.0,0.0,-119.31373272267986,1074.362139473533,1159.1344205312007,0.5190491948855251,-0.298048320262027,96.85608865763504,-89.53196765914439,744.6368422036892,direction,745.2493830003345,745.2210556881789,False,0.028327312155624895
center,10,perpendicular_1000,0.0,0.0,-119.31373272267986,1074.362139473533,1159.1344205312007,0.5190491948855251,-0.298048320262027,96.85608865763504,-992.8491229382522,-119.37595687885918,no_signal,,,False,
center,10,random_omega,0.0,0.0,-119.31373272267986,1074.362139473533,1159.1344205312007,0.5190491948855251,-0.298048320262027,96.85608865763504,1362.5839789367049,759.6108177797478,no_signal,,,False,
center,11,minimax,0.0,0.0,-39.839390533132665,468.7780882250775,1181.0098405106974,0.3076971568137472,0.3303229007619721,95.16534135116991,-619.2115402602936,790.4972162627323,direction,42.21037533923041,42.21037491565495,False,4.235754573755912e-07
center,11,along_750,0.0,0.0,-39.839390533132665,468.7780882250775,1181.0098405106974,0.3076971568137472,0.3303229007619721,95.16534135116991,-67.52260925595775,746.9542805548859,direction,740.0035720102215,740.0033838221908,False,0.00018818803073372692
center,11,perpendicular_1000,0.0,0.0,-39.839390533132665,468.7780882250775,1181.0098405106974,0.3076971568137472,0.3303229007619721,95.16534135116991,-995.939040739848,-90.03014567461034,direction,53.44520406355422,53.44520369988585,False,3.636683700847243e-07
center,11,random_omega,0.0,0.0,-39.839390533132665,468.7780882250775,1181.0098405106974,0.3076971568137472,0.3303229007619721,95.16534135116991,1182.9315475339104,953.718937414586,no_signal,,,False,
center,12,minimax,0.0,0.0,554.1223649075254,-1300.3242543031101,1449.9191441159453,-0.0794285120263365,0.0062233611895714525,-66.99855340679677,831.5756381750274,-562.8416637958229,direction,104.54312127115351,104.54312073505693,False,5.360965786849192e-07
center,12,along_750,0.0,0.0,554.1223649075254,-1300.3242543031101,1449.9191441159453,-0.0794285120263365,0.0062233611895714525,-66.99855340679677,293.06577682527603,-690.3712410390496,direction,745.0850400425664,745.0567078370271,False,0.028332205539300048
center,12,perpendicular_1000,0.0,0.0,554.1223649075254,-1300.3242543031101,1449.9191441159453,-0.0794285120263365,0.0062233611895714525,-66.99855340679677,920.4949880520661,390.754369100368,no_signal,,,False,
center,12,random_omega,0.0,0.0,554.1223649075254,-1300.3242543031101,1449.9191441159453,-0.0794285120263365,0.0062233611895714525,-66.99855340679677,273.1921627619365,1687.6127525525976,no_signal,,,False,
center,13,minimax,0.0,0.0,-993.3267068257943,-760.8594177560902,1270.7938326186884,0.46817466695531107,-0.7902571761842165,-142.08075890239203,-329.79680939946604,-948.442325616369,direction,73.44452435653416,73.44452392409623,False,4.324379290210345e-07
center,13,along_750,0.0,0.0,-993.3267068257943,-760.8594177560902,1270.7938326186884,0.46817466695531107,-0.7902571761842165,-142.08075890239203,-591.6583130833822,-460.912617053739,direction,745.2494087899278,745.221081479239,False,0.028327310688723628
center,13,perpendicular_1000,0.0,0.0,-993.3267068257943,-760.8594177560902,1270.7938326186884,0.46817466695531107,-0.7902571761842165,-142.08075890239203,614.5501560716519,-788.8777507778428,no_signal,,,False,
center,13,random_omega,0.0,0.0,-993.3267068257943,-760.8594177560902,1270.7938326186884,0.46817466695531107,-0.7902571761842165,-142.08075890239203,-250.75292140901539,1000.0723065042204,no_signal,,,False,
